,,,,,,,,
,Reporting Date,NSE S&P CNX NIFTY,BSE BANKEX,REPO RATE (OVERNIGHT),REVERSE REPO RATE (OVERNIGHT),DAILY CALL MONEY RATE -HIGH,DAILY CALL MONEY RATE - LOW,RBI'S REFERENCE RATE: INR PER USD
,,Index,Index,Per cent,Per cent,Per cent,Per cent,Rupees
,04-Feb-2022,17516.3,44391.25,4,3.35,3.54,2.7,74.7231
,03-Feb-2022,17560.2,44682.71,4,3.35,3.5,2.2,74.857
,02-Feb-2022,17780,45043.84,4,3.35,3.8,2.2,74.8334
,01-Feb-2022,17576.85,44127.02,4,3.35,3.6,2.2,74.5295
,31-Jan-2022,17339.85,43569.48,4,3.35,3.4,2,74.9674
,30-Jan-2022,wh,wh,wh,wh,wh,wh,wh
,29-Jan-2022,,,4,3.35,3.25,2.7,
,28-Jan-2022,17101.95,43257.74,4,3.35,,,74.9513
,27-Jan-2022,17110.15,43584.4,4,3.35,4.25,2.2,75.1724
,26-Jan-2022,,,4,3.35,0,0,
,25-Jan-2022,17277.95,43164.41,4,3.35,4,2.2,74.7025
,24-Jan-2022,17149.1,42230.56,4,3.35,4.5,2.2,74.5788
,23-Jan-2022,wh,wh,wh,wh,wh,wh,wh
,22-Jan-2022,,,4,3.35,,,
,21-Jan-2022,17617.15,42940.3,4,3.35,4.55,2.2,74.5343
,20-Jan-2022,17757,43276.73,4,3.35,,,74.3618
,19-Jan-2022,17938.4,43468.74,4,3.35,4.5,2.1,74.5955
,18-Jan-2022,18113.05,43695.23,4,3.35,4.53,2.1,74.4115
,17-Jan-2022,18308.1,43624.8,4,3.35,,,74.3134
,16-Jan-2022,wh,wh,wh,wh,wh,wh,wh
,15-Jan-2022,,,4,3.35,3.6,2.65,
,14-Jan-2022,18255.75,43771.05,4,3.35,3.5,2.7,74.1157
,13-Jan-2022,18257.8,43923.87,4,3.35,3.45,2.1,73.9348
,12-Jan-2022,18212.35,44221.83,4,3.35,3.55,2.1,73.9968
,11-Jan-2022,18055.75,43883.37,4,3.35,3.65,2.1,73.9319
,10-Jan-2022,18003.3,43800.96,4,3.35,3.6,2.1,74.163
,09-Jan-2022,wh,wh,wh,wh,wh,wh,wh
,08-Jan-2022,,,4,3.35,,,
,07-Jan-2022,17812.7,43046.33,4,3.35,3.65,2.1,74.2939
,06-Jan-2022,17745.9,42769.62,4,3.35,3.45,2,74.4398
,05-Jan-2022,17925.25,43002.78,4,3.35,3.45,2,74.484
,04-Jan-2022,17805.25,41982.2,4,3.35,3.5,2,74.5717
,03-Jan-2022,17625.7,41438.77,4,3.35,3.5,2,74.3115
,02-Jan-2022,wh,wh,wh,wh,wh,wh,wh
,01-Jan-2022,,,4,3.35,3.7,2.7,
